m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03
3718410.0,255119595.0,255814470.0,24345268455.0,17536488975.0,24442025400.0,2607776931255.0,1671215794905.0,1674677037405.0,2619516494520.0,6841548382.989648,-14906374.501436826,6842824918.777947,-1343938602.90193,-1613755997.6959012,-235919596.05632702,-3543101712.6596313,0.0004948115790200942,-1.0780961109417306e-06,0.0004949039038351396,-5.0406465156925626e-08,-6.052637768867928e-08,-8.84852393760505e-09,-1.3288942861004616e-07
3690360.0,248475315.0,258168375.0,23407392225.0,17389755090.0,24829272735.0,2483219570565.0,1632405603510.0,1675567430340.0,2666824441065.0,6677321943.415215,7042210.724501798,6768457570.5876875,7998046668.024785,-6065452097.587917,2804470561.4575925,-17178306346.336025,0.0004903033351672674,5.170964399251259e-07,0.0004969952548221657,3.057117268101472e-07,-2.3184158727793078e-07,1.07196115966545e-07,-6.566115346397504e-07
3720195.0,251858655.0,255898620.0,23886843225.0,17318485140.0,24451039140.0,2552414350455.0,1640600025960.0,1657880680320.0,2620597437990.0,6835913878.98211,-5951414.953732068,6848708155.225169,9677650535.534546,-1682807790.0216858,3354529565.7138515,-3495413299.1718426,0.0004939297365980586,-4.300201659240828e-07,0.0004948541884865073,3.6253978568087105e-07,-6.304058751619968e-08,1.2566587575657597e-07,-1.3094359872727425e-07
3684495.0,252695055.0,253489890.0,24007925385.0,17372225880.0,24235133190.0,2555707145565.0,1648444029960.0,1658165964630.0,2598793384530.0,6677248909.267768,-12963052.402935661,6795260335.724961,-6733456566.551149,-1501204459.3717775,-2177259861.824866,-3577045207.8656187,0.0004918601329211977,-9.548855770709293e-07,0.0005005531016411283,-2.584003718737579e-07,-5.76096075954787e-08,-8.355363287796718e-08,-1.3727122211098593e-07
4820775.0,327830040.0,330205620.0,29832533640.0,22456357740.0,30267264780.0,3054064652640.0,2043528554340.0,2058499459500.0,3121108271400.0,7538911737.629196,1187852.8294076615,7649376270.45861,-1170699.4931394714,-53461922.574852146,53857936.35081753,1187915.6619649702,0.00032439558475987664,5.111271050979972e-08,0.0003291488181136462,-2.2943162176482822e-11,-1.0477373289126995e-09,1.055498337044453e-09,2.3280561616506383e-11
2851665.0,195338160.0,199348545.0,19829524710.0,13655434365.0,20370990945.0,2241838450170.0,1379671275705.0,1395404630865.0,2304163226865.0,6448921885.97067,121423.62112084255,6435327957.371009,23952006.851682417,-6548471815.661649,-18849739.264376547,-19627938960.365475,0.0007930308929296711,1.493159389784145e-08,0.0007913592328403678,1.7441974366723961e-09,-4.768630798131304e-07,-1.3726476912960312e-09,-1.4293165927107696e-06
4821030.0,327830040.0,330240555.0,29832533640.0,22456357740.0,30272050875.0,3054064652640.0,2043528554340.0,2058499459500.0,3121763966415.0,7540090920.0,0.0,7650572857.5,0.0,0.0,0.0,0.0,0.00032441200324412003,0.0,0.00032916548261816806,0.0,0.0,0.0,0.0
4854945.0,332546265.0,332547030.0,30478656465.0,22777130910.0,30478863780.0,3142583479665.0,2087474478630.0,2087488522500.0,3142625618160.0,7700433773.404065,-1144181.3435581361,7700536288.788276,1153788.062341637,-51888684.456419356,-47242223.92946503,7818720.232579039,0.0003266980644888011,-4.854295762606055e-08,0.00032670241379931887,2.2215968731018854e-11,-9.991067068573852e-10,-9.096399970292111e-10,1.505479644598088e-10
2823360.0,196206945.0,197380200.0,19915694565.0,13701886440.0,20186012670.0,2236588726155.0,1383740699580.0,1393952683050.0,2284650981570.0,6280463752.693732,-14878707.01950799,6387225638.930636,-20345848376.86963,-6491210300.042718,-6776360847.161226,-19604574264.76672,0.000787878407385236,-1.8665201252779432e-06,0.0008012715879225328,-1.5190083452088047e-06,-4.84629710869167e-07,-5.059188727999271e-07,-1.4636652825104868e-06
2819025.0,190899120.0,197127240.0,19214654430.0,13353349380.0,20168532420.0,2156640203820.0,1337752719480.0,1367790127770.0,2283367309530.0,6287321746.971506,4260016.113975341,6383926483.544099,3928184913.268746,-6456098105.640501,1418910378.4273453,-19790252723.98062,0.0007911663923923244,5.360599816687438e-07,0.0008033226687844088,2.9440460915564424e-07,-4.838634334756813e-07,1.0634269124570884e-07,-1.48321470270265e-06
3667155.0,251185455.0,247382640.0,23984256285.0,16941040260.0,23354917050.0,2571538675725.0,1619226380370.0,1599230302920.0,2481383842650.0,6779056940.124467,-3681462.289134412,6666729456.792294,36426232.82424843,1776564733.7452304,8561277.986959307,6422379830.975461,0.0005040930947006677,-2.737548503788636e-07,0.0004957403829307304,1.4144613742103262e-09,6.898550851500873e-08,3.3244165228005367e-10,2.493864310715931e-07
3629415.0,248466900.0,243693555.0,23615876910.0,16683761835.0,22965295155.0,2515916887680.0,1588723564185.0,1570546606755.0,2438753795115.0,6606028106.374622,692480.61933563,6602727427.545845,-5294485617.576648,2963568244.6328964,-1732452232.6491978,10103817921.559944,0.0005014956353059511,5.2569562608380236e-08,0.0005012450647665099,-2.1097558433342898e-07,1.1809278318704739e-07,-6.903505807996026e-08,4.0261869499144435e-07
4820520.0,330170685.0,327761445.0,30262478685.0,22446960225.0,29823307485.0,3120452576385.0,2057211999945.0,2042264571105.0,3052823700495.0,7648179556.821042,-2323423.2868718263,7537835206.389389,2358611.492320171,-105362198.70167433,-99904955.75183347,9092361.637973094,0.00032913214279275147,-9.998631430412627e-08,0.0003243835784797897,4.62297651988559e-11,-2.0651428701477745e-09,-1.9581786409706837e-09,1.7821406577354282e-10
4786095.0,325454460.0,325454460.0,29616355860.0,22130903280.0,29616355860.0,3031933749360.0,2013912198480.0,2013912198480.0,3031933749360.0,7485452580.0,0.0,7485452580.0,0.0,0.0,0.0,0.0,0.00032677997407071945,0.0,0.00032677997407071945,0.0,0.0,0.0,0.0
4786095.0,325454460.0,325454460.0,29616355860.0,22130903280.0,29616355860.0,3031933749360.0,2013912198480.0,2013912198480.0,3031933749360.0,7485452580.0,0.0,7485452580.0,0.0,0.0,0.0,0.0,0.00032677997407071945,0.0,0.00032677997407071945,0.0,0.0,0.0,0.0
4855200.0,332581200.0,332581200.0,30483442560.0,22781812200.0,30483442560.0,3143239174680.0,2088115815360.0,2088115815360.0,3143239174680.0,7701630360.0,0.0,7701630360.0,0.0,0.0,0.0,0.0,0.000326714509333145,0.0,0.000326714509333145,0.0,0.0,0.0,0.0
3666390.0,251044950.0,248455680.0,23852958570.0,17011804800.0,23607434370.0,2540282134620.0,1618737729990.0,1614561713310.0,2526346159710.0,6663416017.1066885,-445332.3688990009,6770648069.507582,-5491411905.388362,2385011202.1432195,-1825493269.7287784,8934455075.711414,0.0004957007876764867,-3.312889447009534e-08,0.0005036779292361352,-2.1334740837360586e-07,9.266031535896748e-08,-7.092242665641946e-08,3.471134324786429e-07
2857020.0,195847905.0,196223010.0,19877634795.0,13451195175.0,19935466500.0,2246524309515.0,1364314474965.0,1366354873785.0,2253898943430.0,6452316843.816938,163883.2015335602,6458672619.152089,-690831951.0640877,-923963519.5058367,-238172302.48644522,-2465242418.673619,0.0007904767929101736,2.007741880875553e-08,0.0007912554423511418,-5.007134000077678e-08,-6.696866215036894e-08,-1.7262673387062732e-08,-1.7868020021310922e-07
4821030.0,327830040.0,330240555.0,29832533640.0,22456357740.0,30272050875.0,3054064652640.0,2043528554340.0,2058499459500.0,3121763966415.0,7540090920.0,0.0,7650572857.5,0.0,0.0,0.0,0.0,0.00032441200324412003,0.0,0.00032916548261816806,0.0,0.0,0.0,0.0
2823105.0,191120205.0,191916315.0,19227332265.0,12992032230.0,19451126385.0,2157332791215.0,1309308206940.0,1318295697750.0,2200379461065.0,6288765417.77256,-430135.24839519634,6404544000.292657,4188662401.8250446,2281248854.5936027,1540507192.6310854,7311379647.014291,0.0007890623701478824,-5.396982015320207e-08,0.0008035893109171292,3.1279354381303646e-07,1.7035507880435952e-07,1.150392793275957e-07,5.459863150956397e-07
4821030.0,330240555.0,327830040.0,30272050875.0,22456357740.0,29832533640.0,3121763966415.0,2058499459500.0,2043528554340.0,3054064652640.0,7650572857.5,0.0,7540090920.0,0.0,0.0,0.0,0.0,0.00032916548261816806,0.0,0.00032441200324412003,0.0,0.0,0.0,0.0
4786095.0,325454460.0,325454460.0,29616355860.0,22130903280.0,29616355860.0,3031933749360.0,2013912198480.0,2013912198480.0,3031933749360.0,7485452580.0,0.0,7485452580.0,0.0,0.0,0.0,0.0,0.00032677997407071945,0.0,0.00032677997407071945,0.0,0.0,0.0,0.0
4820775.0,330205620.0,327796635.0,30267264780.0,22451781255.0,29828157585.0,3121108271400.0,2057872481055.0,2042929034805.0,3053491389435.0,7649376270.45861,-1100510.709600245,7539078771.464164,1187915.6619649702,-49897793.97234193,-42018894.426097445,11608863.515020004,0.0003291488181136462,-4.735442297239924e-08,0.00032440277214188277,2.3280561616506383e-11,-9.778881652080639e-10,-8.234788815951184e-10,2.2750845957531088e-10
2786130.0,186452430.0,193363950.0,18704600880.0,12950835705.0,19646574450.0,2099642129520.0,1293278722575.0,1321091385405.0,2208943451190.0,6226895728.802855,10600198.437670758,6226663261.504666,14470954363.074364,-6283169671.466727,4838755463.1821165,-18864887527.119606,0.0008021744776777766,1.3655614314669276e-06,0.0008021445302783623,1.1168471295845682e-06,-4.849258615711362e-07,3.7344808187678363e-07,-1.4559644758718657e-06
